,Ctrl 7 dpf rep 1,Ctrl 7 dpf rep 2,Ctrl 7 dpf rep 3,Ctrl 7 dpf rep 4,CPT 24-48 hpf rep 1,CPT 24-48 hpf rep 2,CPT 24-48 hpf rep 3,CPT 48-72 hpf rep1,CPT 48-72 hpf rep2,CPT 48-72 hpf rep3,Ola 2-24 hpf rep 1,Ola 2-24 hpf rep 2,Ola 2-24 hpf rep 3,Ola 24-48 hpf rep 1,Ola 24-48 hpf rep 2,Ola 24-48 hpf rep 3
ABA_contig_00001,147,80,217,131,198,57,125,115,138,119,123,52,164,88,106,135
ABA_contig_00002,44,38,77,42,40,12,30,37,42,50,48,21,24,19,33,51
ABA_LIMD2.1.4,122,92,124,80,66,9,36,80,103,75,58,7,28,44,42,50
ABA_contig_00003,29,24,36,22,3,8,12,29,54,8,16,20,10,13,15,13
ABA_contig_00004,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
ABA_contig_00005,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ABA_contig_00006,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
ABA_contig_00007,3,1,9,4,4,3,8,0,6,9,0,0,0,8,2,2
ABA_contig_00008,25,25,59,21,76,11,59,32,105,81,35,12,17,30,55,65
ABA_SICH211-229D2.5.1.2,0,0,4,1,3,0,4,4,0,0,0,1,0,1,2,2
ABA_contig_00009,28,17,22,20,17,1,16,6,20,19,22,28,31,27,7,18
ABA_contig_00010,65,51,99,41,67,37,86,44,74,71,137,73,97,53,34,43
ABA_GALNT16.1.2,165,121,204,173,204,131,263,155,316,146,555,387,382,191,69,153
ABA_TRMT61A.1.2,37,18,38,20,13,6,32,16,41,9,19,3,24,17,13,9
ABA_ID2.1.2,668,691,1076,592,1391,423,1657,532,962,773,1935,755,1591,814,553,966
ABA_contig_00011,43,39,104,45,52,14,53,45,76,57,64,23,66,56,30,56
ABA_contig_00012,26,39,58,41,63,8,32,35,61,60,49,19,18,31,36,41
ABA_contig_00013,2,1,3,5,2,1,1,1,4,1,1,3,0,1,0,2
ABA_contig_00014,115,112,192,93,114,93,147,105,204,114,249,145,228,116,62,109
ABA_LOC107752219,8,9,13,7,8,5,23,6,5,21,10,7,12,10,2,7
ABA_DTD2,45,33,77,57,50,17,46,45,74,52,66,18,35,47,52,53
ABA_contig_00015,145,134,275,148,127,46,149,135,226,176,229,79,114,125,83,101
ABA_contig_00016,26,19,35,30,6,3,13,6,27,13,18,11,11,5,2,16
ABA_contig_00017,8,4,28,18,37,3,23,15,26,14,21,14,16,7,22,26
ABA_contig_00018,21,18,52,30,38,7,43,19,62,38,38,15,21,25,18,20
ABA_contig_00019,75,68,170,101,65,31,68,89,154,146,69,33,46,98,53,66
ABA_contig_00020,396,320,619,314,231,71,201,172,439,230,249,114,184,168,157,201
ABA_SLC36A4.1.2,65,35,77,51,88,9,78,44,86,55,73,29,64,50,66,60
ABA_contig_00021,28,25,25,44,22,5,25,11,35,28,17,5,11,32,13,25
ABA_contig_00022,75,82,118,64,59,43,168,44,73,56,195,115,260,49,47,91
ABA_LOC108436260.1.2,15,15,6,3,40,12,13,17,19,26,43,3,27,25,40,9
ABA_contig_00023,53,45,83,40,24,23,44,60,54,53,65,25,24,19,16,27
ABA_contig_00024,186,154,307,152,249,84,265,143,287,150,301,141,215,142,178,196
ABA_contig_00025,58,62,95,60,72,28,75,48,133,86,68,24,55,52,51,58
ABA_contig_00026,7,3,8,3,9,3,8,3,5,8,10,6,4,2,3,12
ABA_contig_00027,1,4,1,1,1,0,1,0,2,1,5,2,5,3,2,5
ABA_contig_00028,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ABA_contig_00029,113,113,272,121,83,20,103,71,169,107,95,14,68,75,70,41
ABA_contig_00030,5,18,17,9,1,5,9,5,10,14,5,2,4,9,2,6
ABA_contig_00031,147,133,260,137,218,112,277,187,287,168,347,152,200,188,107,198
ABA_LOC102445247,50,58,59,102,129,20,126,40,85,151,156,98,105,54,56,146
ABA_contig_00032,12,11,34,16,7,3,9,2,13,9,6,2,4,1,0,1
ABA_ZGC174917,31,54,85,64,1045,630,2425,75,146,138,1411,143,259,82,170,132
ABA_contig_00033,8,9,15,11,10,3,11,3,17,22,19,2,16,13,12,19
ABA_contig_00034,26,21,28,9,14,11,21,15,24,21,20,10,20,15,7,7
ABA_contig_00035,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ABA_contig_00036,0,0,2,3,0,1,2,0,0,0,0,1,4,1,1,2
ABA_contig_00037,6,20,26,11,35,16,45,10,43,16,30,22,31,15,19,38
ABA_contig_00038,3,2,7,3,1,1,3,4,5,3,1,1,1,0,4,1
